TimeStamp;RH
25.9.2020 0:02;63,08
25.9.2020 0:17;63,59
25.9.2020 0:32;63,59
25.9.2020 0:47;63,59
25.9.2020 1:02;63,59
25.9.2020 1:17;63,59
25.9.2020 1:32;63,59
25.9.2020 1:47;63,08
25.9.2020 2:02;63,08
25.9.2020 2:17;63,08
25.9.2020 2:32;63,08
25.9.2020 2:47;63,08
25.9.2020 3:02;63,08
25.9.2020 3:17;63,08
25.9.2020 3:32;63,08
25.9.2020 3:47;63,08
25.9.2020 4:02;63,08
25.9.2020 4:17;63,08
25.9.2020 4:32;63,08
25.9.2020 4:47;63,08
25.9.2020 5:02;63,08
25.9.2020 5:17;63,08
25.9.2020 5:32;63,08
25.9.2020 5:47;63,08
25.9.2020 6:02;63,08
25.9.2020 6:17;63,08
25.9.2020 6:32;63,08
25.9.2020 6:47;63,08
25.9.2020 7:02;63,08
25.9.2020 7:17;70,21
25.9.2020 7:32;70,21
25.9.2020 7:47;68,68
25.9.2020 8:02;68,18
25.9.2020 8:17;67,67
25.9.2020 8:32;67,16
25.9.2020 8:47;66,65
25.9.2020 9:02;66,14
25.9.2020 9:17;66,14
25.9.2020 9:32;65,63
25.9.2020 9:47;65,63
25.9.2020 10:02;65,63
25.9.2020 10:17;65,63
25.9.2020 10:32;65,63
25.9.2020 10:47;65,63
25.9.2020 11:02;65,63
25.9.2020 11:17;65,63
25.9.2020 11:32;65,63
25.9.2020 11:47;65,63
25.9.2020 12:02;65,63
25.9.2020 12:17;65,63
25.9.2020 12:32;65,12
25.9.2020 12:47;65,12
25.9.2020 13:02;65,12
25.9.2020 13:17;65,12
25.9.2020 13:32;65,12
25.9.2020 13:47;65,12
25.9.2020 14:02;65,12
25.9.2020 14:17;64,61
25.9.2020 14:32;64,61
25.9.2020 14:47;64,61
25.9.2020 15:02;64,61
25.9.2020 15:17;64,61
25.9.2020 15:32;64,61
25.9.2020 15:47;64,61
25.9.2020 16:02;64,61
25.9.2020 16:17;64,1
25.9.2020 16:32;64,1
25.9.2020 16:47;64,1
25.9.2020 17:02;64,1
25.9.2020 17:17;64,1
25.9.2020 17:32;64,1
25.9.2020 17:47;64,1
25.9.2020 18:02;64,1
25.9.2020 18:17;64,1
25.9.2020 18:32;64,1
25.9.2020 18:47;64,1
25.9.2020 19:02;64,1
25.9.2020 19:17;64,1
25.9.2020 19:32;64,1
25.9.2020 19:47;64,1
25.9.2020 20:02;64,1
25.9.2020 20:17;64,1
25.9.2020 20:32;64,1
25.9.2020 20:47;64,1
25.9.2020 21:02;63,59
25.9.2020 21:17;63,59
25.9.2020 21:32;63,59
25.9.2020 21:47;63,59
25.9.2020 22:02;63,59
25.9.2020 22:17;63,59
25.9.2020 22:32;63,59
25.9.2020 22:47;64,1
25.9.2020 23:02;64,1
25.9.2020 23:17;64,1
25.9.2020 23:32;64,1
25.9.2020 23:47;64,1
26.9.2020 0:02;64,1
26.9.2020 0:17;63,59
26.9.2020 0:32;63,59
26.9.2020 0:47;63,59
26.9.2020 1:02;63,59
26.9.2020 1:17;63,59
26.9.2020 1:32;63,59
26.9.2020 1:47;63,59
26.9.2020 2:02;63,59
26.9.2020 2:17;63,59
26.9.2020 2:32;63,08
26.9.2020 2:47;63,08
26.9.2020 3:02;63,08
26.9.2020 3:17;63,08
26.9.2020 3:32;63,08
26.9.2020 3:47;63,08
26.9.2020 4:02;63,08
26.9.2020 4:17;63,08
26.9.2020 4:32;63,08
26.9.2020 4:47;63,08
26.9.2020 5:02;63,59
26.9.2020 5:17;63,59
26.9.2020 5:32;63,08
26.9.2020 5:47;63,08
26.9.2020 6:02;63,08
26.9.2020 6:17;63,08
26.9.2020 6:32;63,08
26.9.2020 6:47;63,08
26.9.2020 7:02;63,08
26.9.2020 7:17;63,08
26.9.2020 7:32;63,08
26.9.2020 7:47;63,08
26.9.2020 8:02;63,08
26.9.2020 8:17;63,08
26.9.2020 8:32;63,08
26.9.2020 8:47;63,08
26.9.2020 9:02;63,08
26.9.2020 9:17;63,08
26.9.2020 9:32;63,08
26.9.2020 9:47;63,08
26.9.2020 10:02;62,57
26.9.2020 10:17;62,57
26.9.2020 10:32;62,57
26.9.2020 10:47;62,57
26.9.2020 11:02;62,57
26.9.2020 11:17;62,57
26.9.2020 11:32;63,08
26.9.2020 11:47;63,08
26.9.2020 12:02;63,08
26.9.2020 12:17;63,08
26.9.2020 12:32;63,08
26.9.2020 12:47;62,57
26.9.2020 13:02;62,57
26.9.2020 13:17;62,57
26.9.2020 13:32;62,57
26.9.2020 13:47;62,57
26.9.2020 14:02;62,57
26.9.2020 14:17;62,57
26.9.2020 14:32;62,57
26.9.2020 14:47;62,57
26.9.2020 15:02;62,57
26.9.2020 15:17;62,57
26.9.2020 15:32;62,57
26.9.2020 15:47;62,57
26.9.2020 16:02;62,57
26.9.2020 16:17;62,57
26.9.2020 16:32;62,57
26.9.2020 16:47;62,57
26.9.2020 17:02;62,57
26.9.2020 17:17;62,57
26.9.2020 17:32;62,57
26.9.2020 17:47;62,57
26.9.2020 18:02;63,08
26.9.2020 18:17;63,08
26.9.2020 18:32;63,08
26.9.2020 18:47;63,08
26.9.2020 19:02;63,08
26.9.2020 19:17;63,08
26.9.2020 19:32;63,08
26.9.2020 19:47;63,08
26.9.2020 20:02;63,08
26.9.2020 20:17;63,08
26.9.2020 20:32;63,08
26.9.2020 20:47;63,08
26.9.2020 21:02;63,08
26.9.2020 21:17;63,08
26.9.2020 21:32;63,08
26.9.2020 21:47;63,08
26.9.2020 22:02;63,08
26.9.2020 22:17;63,08
26.9.2020 22:32;63,08
26.9.2020 22:47;63,08
26.9.2020 23:02;63,08
26.9.2020 23:17;63,08
26.9.2020 23:32;63,08
26.9.2020 23:47;63,08
27.9.2020 0:02;63,08
27.9.2020 0:17;63,08
27.9.2020 0:32;63,08
27.9.2020 0:47;63,08
27.9.2020 1:02;63,08
27.9.2020 1:17;63,08
27.9.2020 1:32;63,08
27.9.2020 1:47;63,08
